OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought
b0b81791337b8a67bf36d54ba23e47d0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Paracremonium	0	3	0	0	0	4	0	0	0	0
b0c47e496f95930b2463d44627ee40e9	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Coronophorales;f_Coronophorales_fam_Incertae_sedis;g_Papulaspora	0	0	13	0	0	2	0	0	0	0
b1dae7c084e2b2cecdd9383f3dd4c881	k_Fungi;p_Ascomycota;c_Sareomycetes;o_Sareales;f_Sareaceae;g_Sareaceae_gen_Incertae_sedis	0	0	0	3	44	70	0	0	0	0
b29646b690b1fabe68e266a3c445f803	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae	0	0	0	0	0	0	11	0	0	0
b29789515d5a867b6fcb8d7d4e1eecec	k_Fungi;p_Ascomycota;c_Pezizomycotina_cls_Incertae_sedis;o_Pezizomycotina_ord_Incertae_sedis;f_Pezizomycotina_fam_Incertae_sedis;g_Pezizomycotina_gen_Incertae_sedis	45	27	3	8	12	4	0	8	152	86
b2d1d0fb3c271997873ccfc901bfc234	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreales_fam_Incertae_sedis;g_Hapsidospora	0	0	18	0	0	0	0	0	29	16
b2d7ea3d5a1e2fbe26855aca8c1e6d9d	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Limnoperdaceae;g_Limnoperdon	0	0	0	9	0	0	0	0	2	0
b38697a23e21f34f566288cfc2c7f24a	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Sordariales_fam_Incertae_sedis;g_Sordariales_gen_Incertae_sedis	99	268	118	39	57	123	35	70	127	151
b3dcf659ceaa0eb90f3d2e5ce72ce42b	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Bionectriaceae;g_Ramosiphorum	0	0	0	0	211	70	0	0	4	7
b4637bc9834a034906f8e84a9c8c911b	k_Fungi;p_Basidiomycota;c_Pucciniomycetes;o_Platygloeales;f_Eocronartiaceae;g_Eocronartium	0	0	8	0	21	0	0	12	0	0
b4f015294f75877ab4a109ed357d1b57	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Tricholomataceae;g_Dermoloma	0	0	368	99	0	2	1427	2632	43	245
b543f256f49bf75c7e127f4d21e6ecfa	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Onygenales;f_Onygenaceae;g_Auxarthron	0	0	0	0	0	0	9	0	0	0
