OTU ID	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought	Kingdom	Phylum	Class	Order	Family	Genus	Species
31604e1df27291116a71346824b6b5d7	79	47	0	22	17	189	10	64	29	74	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neopyrenochaetaceae	Neopyrenochaeta	NA
3163e28d1a9de88d11cef4d1646e4cd5	0	5	0	28	0	0	0	0	0	0	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Volucrispora	NA
31710f04c1d3def7bfea4ec1a43757f0	250	148	156	321	413	451	521	479	331	709	Fungi	Ascomycota	NA	NA	NA	NA	NA
318047912296000bc6bd8772c3397f3c	9	16	0	0	0	2	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_fam_Incertae_sedis	Panaeolus	NA
32a7a46f53859f748f442b2f38a85b28	0	0	0	0	53	12	0	3	0	0	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Hyaloriaceae	Hyaloriaceae_gen_Incertae_sedis	NA
32e315833e2fffe7ffa8cfb7836fd5ad	0	6	6	6	52	119	366	432	34	12	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	Pezizales_gen_Incertae_sedis	NA
32f130a9a0ddc908b77b46dbe50078c2	0	10	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
331e2080b4eeed67720941fb2d34ca82	0	0	0	29	0	1	0	8	13	0	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Onygenaceae_gen_Incertae_sedis	NA
3320994f51a75754b628074b90da27d0	51	53	15	8	0	0	45	11	21	17	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
33adac43d1106225f6f44a857f3b681b	313	284	390	275	79	190	99	127	359	165	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	NA
34d5a0367b1fc5f12f0c456c51accc01	534	1481	0	3	0	0	25	94	0	3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Keithomyces	NA
35308e278eb2f08a8ef6a6b02f3a54f9	0	30	484	277	385	228	68	84	76	31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	NA
35c4181afe913a643c2347b197546d6c	102	58	10	65	37	19	157	164	159	113	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
35d828ea8eff7113f0e3eed88180d64d	16	0	22	4	21	9	13	7	0	0	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetales_fam_Incertae_sedis	Coniochaetales_gen_Incertae_sedis	NA
35f6878d8dbf018d48cd897c584f677c	3	3	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	NA
36c1752bf396c1057b4d0ef7872053f4	75	171	1655	1935	1231	691	812	574	418	342	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	NA
3711e6c7f77724961d828f3ec037df1b	0	48	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Porotheleaceae	Porotheleaceae_gen_Incertae_sedis	NA
37472b0547619adb220d75ab1718bf71	0	0	0	13	10	9	0	2	9	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudodictyosporium	NA
375367d880ee9903e949014948f956f0	0	0	0	0	0	11	0	0	7	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	NA
37e081a4f9e90b75414b6d344ce873b3	19	41	0	2	0	0	0	0	0	20	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	NA
3816fb386372d185fc2df53af89211e8	0	0	0	0	0	0	0	0	5	1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Jalapriya	NA
3875362d520c18d17cded66f473aa776	0	0	31	0	0	0	0	0	0	0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pulvinulaceae	Pulvinulaceae_gen_Incertae_sedis	NA
39336bbe92c24405cff364574100e1d2	159	450	0	0	0	0	0	0	6	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Mariannaea	NA
39540fe16684deff117951d950a03329	0	23	0	0	0	0	0	0	18	20	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeriaceae_gen_Incertae_sedis	NA
396a00580e77596ab5f3d262b88502e1	40	49	0	0	0	13	13	0	0	4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	NA	NA
